name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
EL SOBRANTE,#550,CONTRA COSTA COUNTY,Contra Costa,"11 sq.
   leagues",1841,Alvarado,,"Juan Jose
   ; Victor Castro; Juan Jose Castro; Castro",,1883; 1841,Contra Costa Co.,Alvarado,,,,,,,
LAGUNA DE TACHE,#301,FRESNO COUNTY,FRESNO COUNTY,11 sq. leagues,1846,Pico,T 17-18S,Manuel; Castro,Fresno,1846; 1866,,Pico,,T 17-18S,48.800.62,1866,M,,
SAN JON DE SANTA RITA,#198,FRESNO COUNTY,FRESNO COUNTY,11 sq. leagues,1841,Alvarado,T 8-10S,,Fresno,1862; 1841,,Alvarado,,T 8-10S,,,,,
AGUAS FRIAS,#13,GLENN COUNTY,GLENN COUNTY,"6 sq.
   leagues",1844,Micheltorena,,Samuel; Glenn Cos; Butte; Andrew Randall; Pratt Grant,Osio; Salvador,1860; 1844,"Creeks; Big and Little Butte
   ",Micheltorena,Andrew Randall; Samuel,,26.761,1860,"Samuel
   Todd, substitute for Andrew Randall, deceased",Pratt Grant,
CAP AY,#8,GLENN COUNTY,GLENN COUNTY,10 sq. leagues,1844,Micheltorena,"T 21-23N, R 1-3W, MDM",Josefa Soto; Glenn,,1844; 1859,,Micheltorena,Josefa Soto,"T 21-23N, R 1-3W, MDM",44388.17,1859,Josefa Soto,,
JACINTO,#11,GLENN COUNTY,Glenn,8 sq. leagues,1844,Micheltorena,"T 17-19N, R 1 -2 W, MDM",H. McKee; Glenn Ranch; Sophia; Glenn; Colusa; Caroline Ann; Francis,Micheltorena,19-2IN; 1844; 1859,Glenn Co. Grant; Jacinto Rodriguez,Micheltorena,,"T 17-19N, R 1 -2 W, MDM",,,,Glenn Ranch,
LOS ALAMOS Y AGUA CALIENTE,#346,KERN COUNTY,KERN COUNTY,,1843; 1846,Pico,"T 9-1 ON, R 17-18W, SBM",A. Olivera; Vicente Bottilier; Refugio; Micheltorena; Pedro Carrillo; Luis Jordan,Los Angeles; Francisco,1843; 1846; 1866,,Pico,,"T 9-1 ON, R 17-18W, SBM",,,,,
CASTAIC,#345,KERN COUNTY,KERN COUNTY,5 sq. leagues,,Micheltorena,"T 9-ION, R 19W, SBM","Jose Maria Covarrubias; Grapevine Station; Castaic Lake; J. M.
   Covarrubias",,1843; 1866,Kern Co. Grant,Micheltorena,,"T 9-ION, R 19W, SBM",22.178.28,1866,J,,
LA LIEBRE,#347,KERN COUNTY,KERN COUNTY,"11 sq.
   leagues",1846,Pico,,"Jose Maria Flores; Jose Maria
   ; Kern",,1875; 1846; 8-10N,,Pico,"Jose Maria
   ",,48799.59,1875,"Jose Maria
   Flores",,
SAN EMIGDIO,#345,KERN COUNTY,Kern,4 sq. leagues,1842,Alvarado,"T ION, R 21-23W, SBM","John C. Fremont; Jose Antonio
   ",Dominguez,1842; 1866,La Canada de San Emigdio; Kern Co. Grant; Dominguez,Alvarado,,"T ION, R 21-23W, SBM",,,,La Canada de San Emigdio,
EL TEJON,#344,KERN COUNTY,Kern,22 sq. leagues,,Micheltorena,T 30-32S,Ygnacio del Valle; Aguirre; Jose Antonio Aguirre,del Valle,1843; 1863,Kern Co. Grant,Micheltorena,,T 30-32S,,,,,
LAGUNA DE TACHE,#301,KINGS COUNTY,KINGS COUNTY,11 sq. leagues,1846,Pico,T 17-18S,Manuel; Castro,Fresno,1846; 1866,,Pico,,T 17-18S,48.800.62,1866,M,,
CALLAYOME,#59,LAKE COUNTY,Lake,3 sq. leagues,,Micheltorena,T 10-1 IN,A. A. Ritchie; Robert T. Ridley,,1863; 1845,Lake Co. Grant,Micheltorena,,T 10-1 IN,,,,,
GUENOC,#58,LAKE COUNTY,LAKE COUNTY,5 sq. leagues,,Pico,"T 10-1 IN, R 6-7W, MDM",Paul S. Forbes; A. A. Ritchie; George Rock,,1865; 1845,Lake Co.,Pico,,"T 10-1 IN, R 6-7W, MDM",,,,,
AGUAJE DE LA CENTINELA,#437,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,,,Ignacio Machado; Avila; Micheltorena; Bruno Abila,,1844; 1872; 1836,"the
   Ayuntamiento of Los Angeles; Los Angeles Co.",,,,,,,,
LOS ALAMITOS,#468,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,,Fages; Figueroa,"T 4-5S, R11-12W, SBM",Manuel Nieto; Don Manuel Nieto; Juan Jose Nieto,Los Alamitos; Los Angeles; Orange Cos,R11-12W; 1874; 1834; 1833; 1784,Los Nietos Rancho; Abel Stearns,Fages; Figueroa,,"T 4-5S, R11-12W, SBM",,,,,
LOS ALAMOS Y AGUA CALIENTE,#346,LOS ANGELES COUNTY,LOS ANGELES COUNTY,,1843; 1846,Pico,"T 9-10W, R 17-18W, SBM",A. Olivera; Vicente Bottilier; Refugio; Micheltorena; Pedro Carrillo; Luis Jordan,Los Angeles; Francisco,1843; 1846; 1866,,Pico,,"T 9-10W, R 17-18W, SBM",,,,,
LOS ANGELES CITY LANDS,#427,LOS ANGELES COUNTY,Los Angeles,,,,T 1-2S,,Los Angeles,1875; 1781; 1866,Los Angeles Co.,,,T 1-2S,,,,,
AZUSA (Dalton),#456,LOS ANGELES COUNTY,Los Angeles,"1 sq.
   league",1841,Pro,T IN,Manuel Jimeno; Henry Dalton,L. Arenas,1876; 1841,Los Angeles Co.,Pro,,T IN,,,,,
AZUSA (Duarte),#455,LOS ANGELES COUNTY,Los Angeles,,1841,Alvarado,"T IN, R 10-11W",Andreas Duarte,Andreas,1841; 1878,Los Angeles Co.,Alvarado,,"T IN, R 10-11W",,,,,
