name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
LOS VERGELES,#249,SAN BENITO COUNTY,SAN BENITO COUNTY,,,Figueroa; Castro,,Joaquin Gomez; James Stokes,San Benito; Canada,1835; 1875,Medio y la; Rancho de la Canada,Figueroa; Castro,,,,,,"Rancho de la Canada
   en Medio y la Canada de Ceboda",
CANON DE SANTA ANA,#475,SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY,3 sq. leagues,1834,Figueroa,T 3S,Bernardo Yorba,Santa Ana River; San Bernardino,1834; 1866,,Figueroa,,T 3S,,,,,
CUCAMONGA,#479,SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY,"3 sq.
   leagues",1839,Alvarado,"T IN, IS, R 7W, SBM",Tiburcia; Victor Prudhomme; Leon,,1872; 1839,San Bernardino Co.; Tapia,Alvarado,Victor Prudhomme; Leon,"T IN, IS, R 7W, SBM",13.045.20,1872,"Leon
   Victor Prudhomme",,
JURUPA (Stearns),#483,SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY,,1838,Alvarado,"T 1-2S, R 5-7W, SBM",Juan Bandini,Riverside,1879; 1838,A. Stearns,Alvarado,,"T 1-2S, R 5-7W, SBM",,,,,
MUSCUPIABE,#480,SAN BERNARDINO COUNTY,San Bernardino,"1 sq.
   league",1843,Micheltorena,"T 1-2N, R 4-5 W","Michael
   White; Michael White",,1843; 1872,San Bernardino Co.,Micheltorena,,"T 1-2N, R 4-5 W",,,,,
EL RINCON (Yorba),#476,SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY,1 sq. league,1839,Alvarado,"T 3S, R 7W, SBM,
   on Santa Ana River",Bernardo Yorba; Juan Bandini,Alvarado; Santa Ana River; Riverside; San Bernardino,1879; 1839,,Alvarado,,"T 3S, R 7W, SBM,
   on Santa Ana River",,,,,
SAN BERNARDINO,#481,SAN BERNARDINO COUNTY,SAN BERNARDINO COUNTY,"8
  sq. leagues",1842,Alvarado,T IS,"Vicente Lugo; Jose Maria Lugo; Jose del
  Carmen Lugo",,1842; 1865,Lugo Rancho; San Bernardino Co.,Alvarado,"Jose del
  Carmen Lugo",T IS,35509.,1865,"Jose del
  Carmen Lugo et al",,
SANTA ANA DEL CHINO,#477,SAN BERNARDINO COUNTY,San Bernardino,5 sq. leagues,1841; 1843,Alvarado,T 2S,"Isaac Williams; Maria Merced Williams; Francisca Williams; Maria Merced Williams
  ; Micheltorena; Antonio M. Lugo",SANTA,1869; 1843; 1841,"San
  Bernardino Co.; San Bernardino Co.; DEL CHINO",Alvarado,,T 2S,,,,,
AGUA HEDIONDA,#521,SAN DIEGO COUNTY,SAN DIEGO COUNTY,"3 sq.
   leagues",1842,Alvarado,T 12S,"Juan M.
   ; Maria Marron; Juan",,1842; 1872,Marron; San Diego Co.,Alvarado,Juan; Maria Marron,T 12S,13.311.01,1872,"Juan
   Maria Marron",,
BUENA VISTA (Machado),#518,SAN DIEGO COUNTY,SAN DIEGO COUNTY,,1845,Pico,"T 1 IS, R 3-4W, SBM",Jesus Machado,Milpitas; Felipe,1845,San Diego Co. Grant,Pico,,"T 1 IS, R 3-4W, SBM",,,,Milpitas,
EL CAJON,#534,SAN DIEGO COUNTY,SAN DIEGO COUNTY,11 sq. leagues,1845,Pico,"T 15-16S, R 1-2W",Thomas W. Sutherland,,1876; 1845,Pedrorena; San Diego Co.,Pico,,"T 15-16S, R 1-2W",,,,,
"CANADA DE SAN VICENTE Y MESA DEL PADRE
   BARONA",#513,SAN DIEGO COUNTY,San Diego,3 sq. leagues,1845,Pico,,Juan Lopez; Padre,Creek; Barona Valley,1873; 1845; 14S,Domingo Yorba; San Diego Co.,Pico,,,,,,,
CANADA DE LOS COCHES,#535,SAN DIEGO COUNTY,San Diego,,1843; 1845,Pico; Micheltorena,"T 15S, R IE, SBM","Apolinario Lorenzana; Cuca Mission San Luis Rcy; M. J. de los
  Angeles; Anacheto Lestrada",EL POTRERO,1843; 1873; 1845; 1878,San Diego Co. Grant; Inside Rancho El Cajon; San Diego Co.; CUCA,Pico; Micheltorena,,"T 15S, R IE, SBM",,,,,
CUYAMACA,#512,SAN DIEGO COUNTY,San Diego,11 sq. leagues,1845,Pico,"T 14-15S, R 4E, SBM",Agustin Olivera,,1845; 1874,Olvera; San Diego Co.,Pico,,"T 14-15S, R 4E, SBM",,,,,
LOS ENCENITOS,#522,SAN DIEGO COUNTY,SAN DIEGO COUNTY,"1 sq.
  league",1842,Alvarado,"T 13S, R 3-4W, SBM","Andres Ybarra; Andres Ybarra
  ",Encinitas,1871; 1842,Ibarra; San Diego Co.,Alvarado,,"T 13S, R 3-4W, SBM",,,,,
GUAJOME,#519,SAN DIEGO COUNTY,San Diego,1 sq. league,1845,Pico,T 11S,Jose Manuel; Andres,,1871; 1845,San Diego Co.,Pico,Andres,T 11S,2219.41,1871,"Andres and
  Catarina Solma",Couto Rancho,
GUEJITO,#515,SAN DIEGO COUNTY,San Diego,3 sq. leagues,1845,Pico,T 11-12S,"Don Jose Maria Orozco; W.
  Hamley",Guejito; Canada,1866; 1845,San Diego Co.,Pico,,T 11-12S,13298.59,1866,Geo,Guejito y Canada de Palomia,
ISLAND OF PENINSULA OF SAN DIEGO,#527,SAN DIEGO COUNTY,"San
  Diego",2 sq. leagues,1845,Pico,,Archibald C. Peachy; Pedro Carrillo,Silver Strand; North Island; Coronado,1869; 1845,"Will EL Aspinwall; San
  Diego Co.",Pico,,,,,,,
JAMACHO,#531,SAN DIEGO COUNTY,San Diego,leagues,1840,Alvarado,T 16-17S,A. Lorenzana,Apolinario; Lorenzana,1871; 1840,San Diego Co.,Alvarado,,T 16-17S,,,,,
JAMUL,#541,SAN DIEGO COUNTY,SAN DIEGO COUNTY,2 sq. leagues,1846,Pico; Victoria,"T 17S, R 1-2E","Fermin Francisco; H. S. Burton; Santiago Arguello; Grant of
    	",Monterey,1831; 1846; 1876; 1845; 1865; 1877; 1862; 1798; 1769,"Santiago
   Arguello; J. S. Alemany; J. S.
   Alemany; Church; Bishop; San Diego Co. Mission; MISION SAN LUIS REY; San Diego Co.; MISION SAN DIEGO",Pico; Victoria,,"T 17S, R 1-2E",22,1862,J,,
MONSERATE,#506,SAN DIEGO COUNTY,San Diego,3 sq. leagues,1846,Pico,"T 9-10S, R 3W, SBM",,Alvarado,1846; 1872,"Ysidro Maria Alvarado; San Diego Co.; Ysidro Maria
   ",Pico,,"T 9-10S, R 3W, SBM",13.322.90,1872,"Ysidro Maria
   Alvarado",,
LA NACION,#528,SAN DIEGO COUNTY,San Diego,6 sq. leagues,1845,Pico,"T 17-
   18S, R1-2W, SBM",Juan Forster,,1866; 1845,San Diego Co.,Pico,,"T 17-
   18S, R1-2W, SBM",,,,,
OTAY (Dominguez),#530,SAN DIEGO COUNTY,San Diego,"1 sq.
   league",1829,Echeandia,T 17-18S,"Victoria Dominguez; Jose Antonio
   ",,1829; 1872,Janal; San Diego Co.,Echeandia,,T 17-18S,,,,Janal,
OTAY (Estudillo),#529,SAN DIEGO COUNTY,San Diego,"2 sq.
   leagues",,Pico; Echeandia,T 18S,,,1846; 1829; 1872,"Magdalena
   Estudillo; Madgalena Estudillo; San Diego Co.",Pico; Echeandia,,T 18S,6657.98,1872,"Magdalena
   Estudillo",,
PAUMA,#507,SAN DIEGO COUNTY,SAN DIEGO COUNTY,3 sq. leagues,,Micheltorena,T 10S,Jose A. Serrano; Jose Aguilar,,1871; 1844,Blas; San Diego Co.,Micheltorena,,T 10S,,,,,
LOS PENASQLITOS,#525,SAN DIEGO COUNTY,San Diego,"2 sq.
   leagues",,Arguello; Figueroa,"T 14S, R 2-3W,
   SBM",Francisco Maria Ruiz; Francisco Maria Alvarado,,1834; 1876; 1823,Diego Alvarado Ranch; Maria de Penasquitos; San Diego Co.,Arguello; Figueroa,,"T 14S, R 2-3W,
   SBM",,,,"Maria de Penasquitos, and as
   Diego Alvarado Ranch",
RINCON DEL DIABLO,#516,SAN DIEGO COUNTY,SAN DIEGO COUNTY,"3
   sq. leagues",1843,Micheltorena,"T 12S, R 2E, SBM",J. B. Alvarado,,1843; 1872,San Diego Co.,Micheltorena,,"T 12S, R 2E, SBM",,,,,
SAN BERNARDO (Snook),#524,SAN DIEGO COUNTY,San Diego,4 sq. leagues,,Pico; Alvarado,,M. A. Snook; Jose Francisco Snook,,1842; 1845; 1874,San Diego Co. Grant,Pico; Alvarado,,,17763.07,1874,M,,
SAN DIEGUITO,#523,SAN DIEGO COUNTY,San Diego,,1831,Pico; Victoria; Alvarado; Gutierrez,"T 13-
   14S","Juliana L. Osuna et al; 8,824.71; Juan Osuna; Silva",Soledad Valley; City of San Diego,1871; 1831; 1874; 1840; 1845; 1836; 1769; 1841,Land of 4; San Diego Co.; Rancho Santa Fe,Pico; Victoria; Alvarado; Gutierrez,,"T 13-
   14S",,,,Rancho Santa Fe,
SAN JOSE DEL VALLE,#509,SAN DIEGO COUNTY,SAN DIEGO COUNTY,,1840; 1844,Micheltorena; Alvarado; Castro,T 10-1 IS,Jose A. Pico; Agua Caliente; Juan Jose,San Diego,1840; 1844; 1880; 1836,San Diego Co. Grant; J. J. Warner; Warner,Micheltorena; Alvarado; Castro,,T 10-1 IS,,,,"Agua Caliente (San Diego), and as
   Warner's Rancho",
SANTA MARGARITA Y LAS FLORES,#505,SAN DIEGO COUNTY,SAN DIEGO COUNTY,,1841; 1843,Gutierrez,T 8-1 IS,Micheltorena; Alvarado; Andres Pico; Alcalde Tapia,Gutierrez,1879; 1843; 1841; 1836,"Pio; San
   Diego Co. Grant",Gutierrez,,T 8-1 IS,,,,,
SANTA YSABEL (Ortega),#510,SAN DIEGO COUNTY,San Diego,4 sq. leagues,1844; 1843,Micheltorena,T 12S,Jose J. Ortega; Ed Stokes; Jose; Joaquin Ortega,Santa Maria Valley; SANTA MARIA; San Diego; Micheltorena; Ramona,1844; 1843; 1872,San Diego Co. Grant; VALLE DE PAMO,Micheltorena,,T 12S,,,,,
VALLE DE SAN FELIPE,#511,SAN DIEGO COUNTY,SAN DIEGO COUNTY,3 sq. leagues,1846,Pico,T 12S,"Juan
   Forster",,1846; 1866,"San Diego Co. Grant; Felipe
   Castillo",Pico,"Juan
   Forster",T 12S,9.972.08,1866,"Juan
   Forster",,
VALLE DE SAN JOSE (Portilia),#508,SAN DIEGO COUNTY,SAN DIEGO COUNTY,4 sq. leagues,1836,Gutierrez,"T 11S, R 2-4E",,Portilia,1880; 1836,San Diego Co.,Gutierrez,,"T 11S, R 2-4E",,,,,
LOS VALLECITOS DE SAN MARCOS,#617,SAN DIEGO COUNTY,San Diego,2 sq. leagues,1840,Alvarado,,Ignacio Sepulveda; Lorenzo Soto,Alvarado; San Diego,1885; 1840,,Alvarado,Lorenzo Soto,,8975.17,1885,Lorenzo Soto,,
CANADA DE GUADALUPE Y RODEO VIEJO,#152,SAN FRANCISCO COUNTY,SAN FRANCISCO COUNTY,,1841,Alvarado,T 3S,"Jacob P.
   ; Viejo",San Francisco; San Mateo,1865; 1841,Canada de Guadalupe la Visitacion y Rodeo; Pierce,Alvarado,,T 3S,942.93,1865,Wm,,
LAS CARMARITAS,#543,SAN FRANCISCO COUNTY,SAN FRANCISCO COUNTY,,1840,Alvarado,,J. J. Noe,San Francisco,1882; 1840,Ferdinand Vassault,Alvarado,,,,,,,
LAGUNA DE LA MERCED,#163,SAN FRANCISCO COUNTY,SAN FRANCISCO COUNTY,,1835; 1842; 1840; 1834; 1842,Alvarado; Figueroa; Micheltorena,T 2-3S,"C. Valencia; Valencia; Zaldo; Jose Cornelio Bernal; Elizabeth de
   ; Castro; F. G. Palomares; Jose de
   ; Candelario Valencia; Jesus Bernal; Jose Antonio Galindo; Francisco Palou; Suete","Monterey; San Francisco; San
   ; San
   Francisco; Alvarado; Zaldo; Micheltorena",1882; 1840; 1834; 1842-44; 1870; 1858; 1835; 1885; 1872; 1776,"J. S. Alemany; J. S.
   Alemany; Francisco de
   Haro; San Francisco Co.; Church; Carmen Cibrian de Bernal; J. de Naro; San Francisco Co. Mission; Bishop; San
   Francisco Co. Grant",Alvarado; Figueroa; Micheltorena,,T 2-3S,,,,,
OJO DE AGUA DE FIGUEROA,#159,SAN FRANCISCO COUNTY,SAN FRANCISCO COUNTY,"1 sq.
   league",1839,Alvarado; Figueroa,"T 2S, R 5W, MDM","Jose de Jesus Bernal; J. C. Bernal; Carmen Cibrian de Bernal; Miranda; Jose Cornelio
   Bernal",Apolinario; San Francisco; San Mateo,1857; 1838; 1833; 1877; 1839,RINCON DE,Alvarado; Figueroa,Miranda,"T 2S, R 5W, MDM",1.77,1877,"Miranda
   et al",,
SAN FRANCISCO PUEBLO LAND,#155,SAN FRANCISCO COUNTY,San Francisco,,1836,,T 2S,Jacob P. Leese; J. P. Leese el al,"SAN FRANCISCO; San Francisco; the City of
   ",1776; 1884; 1858; 1836,"San
   Francisco Co. Grant",,,T 2S,12.643.44,1884,"the City of
   San Francisco",,
SAN MIGUEL (Noe),#154,SAN FRANCISCO COUNTY,SAN FRANCISCO COUNTY,1 sq. league,1845,Pico,,"J. de J.
   ; Jesus",San Francisco; San Mateo,1857; 1845,Noe,Pico,,,4443.38,1857,J,,
ARROYO SECO (Pico),#99,SAN JOAQUIN COUNTY,SAN JOAQUIN COUNTY,11 sq. leagues,1840,,T 5-6N,"H. W.
  Carpentier; Joseph Mora Moss; Alvarado; San
  Joaquin; Herman Wohler",Sacramento; Teodosia Yorba,1840; 1863,Amador,,,T 5-6N,,,,,
CAMPO DE LOS FRANCESES,#100,SAN JOAQUIN COUNTY,San Joaquin,11 sq. leagues,1844,Micheltorena,"T 1-2N, R 6-7E",C. M. Weber,,1844; 1861,San Joaquin Co.; French Camp Rancho,Micheltorena,,"T 1-2N, R 6-7E",,,,French Camp Rancho,
EL PESCADERO (Grimes),#107,SAN JOAQUIN COUNTY,SAN JOAQUIN COUNTY,8 sq. leagues,1843,Micheltorena,"T 2-
  4S, R 6-7E, MDM","H. McKee; Francis W. Grimes; Valintin Higuera; Hiram
  Grimes; Rafael Felix",San Joaquin,1843; 1858,Stanislaus,Micheltorena,"Hiram
  Grimes","T 2-
  4S, R 6-7E, MDM",35446.06,1858,"Hiram
  Grimes, Francis W",,
EL PESCADERO (Pico and Naglee),#108,SAN JOAQUIN COUNTY,San Joaquin,8 sq. leagues,1843,Micheltorena,"T 1-2S, R 4-
  6E, MDM",Naglee; Antonio M. Pico,San Joaquin,1865; 1843,Pico,Micheltorena,,"T 1-2S, R 4-
  6E, MDM",,,,,
SANJON DE LOS MOQUELUMNES,#93,SAN JOAQUIN COUNTY,SAN JOAQUIN COUNTY,8 sq. leagues,1844; 1846,Pico,T 5-6N,Alfias Basilia Thompson; Anastasio Chabolla; Micheltorena,Sacramento; San Joaquin,1865; 1844; 1846; 1858,Departmental Assembly; Rancho del Estanislao; Stanislaus,Pico,,T 5-6N,,,,Rancho del Estanislao,
ARROYO GRANDE,#339,SAN LUIS OBISPO COUNTY,San Luis Obispo,1 sq. league,1842,Alvarado,T 3IS,Francisco Branch,Zefarino; San Ramon,1842; 1867,San Luis Obispo Co.; Carlon,Alvarado,,T 3IS,,,,,
ASUNCION,#318,SAN LUIS OBISPO COUNTY,San Luis Obispo,"11 sq.
   leagues",1845,Pico,T 27-28S,Pedro,Estrada,1866; 1845,Pedro Estrada; San Luis Obispo Co.,Pico,Pedro,T 27-28S,39.224.41,1866,"Pedro
   Estrada",,
ATASCADERO,#317,SAN LUIS OBISPO COUNTY,San Luis Obispo,"1 sq.
   league",1842,Alvarado,,Garcia; Henry Haieht,,1860; 1842,San Luis Obispo Co.,Alvarado,Henry Haieht,,4.348.23,1860,Henry Haieht,,
BOLSA DE CHAMISAL,#352,SAN LUIS OBISPO COUNTY,San Luis Obispo,3 sq. leagues,1837,Pico; Alvarado; Micheltorena,"T 1 IN, R 35W, SBM",Diego Scott; Francisco Quijada; Victor Linares; Juan Wilson; Francisco Padillo; Lewis T. Burton; John Wilson,,1869; 1843; 1845; 1837; 1842; 1867,Departmental Assembly; Pecho y Islay; Canada de los Osos; PECHO V ISLAY; CANADA DE LOS OSOS; San Luis Obispo Co.,Pico; Alvarado; Micheltorena,John Wilson,"T 1 IN, R 35W, SBM",32.430,1869,John Wilson,,
CHOLAME,#314,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1844,Micheltorena,T 24-25S,Mauricio Gonzales; San Luis Obispo; Ellen E. White,,1865; 1844,,Micheltorena,,T 24-25S,,,,,
EL CHORRO,#328,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,"1 sq.
   league",1845,Pico,T 30S,John Wilson; Don Juan Wilson,Canada,1861; 1845,San Luis Obispo Co. Grant; Don Diego Scott,Pico,,T 30S,,,,,
CORRAL DE PIEDRA,#337,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,5 sq. leagues,1841; 1843; 1846,Pico; Alvarado; Micheltorena,"T 31-32S, R 13E",Maria Antonia; Jose Maria Villavicencio; Maria Villavicencio; Jose Maria Rojo; Maria Antonia de la Guerra; Jose; Don Cesario Lataillade; Cesario E.,Santa Barbara; Micheltorena; Cesario; Lataillade; San Luis Obispo,1846; 1843; 1877; 1867; 1879; 1841,San Luis Obispo Co. Grant; UN,Pico; Alvarado; Micheltorena,,"T 31-32S, R 13E",,,,Spanish Rancho,
GUADALUPE,#353,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1840,Alvarado,,Teodoro Arellanes; Diego Olivera,Santa Barbara; San Luis Obispo; Diego,1840; 1866; 1870,Olivera; Teodoro Arellanes,Alvarado,,,,,,,
HUASNA,#340,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,"5 sq.
   leagues",1843,Micheltorena,"T 32S, R 15E","Isaac; Isaac J.
   ",Sparks,1879; 1843,San Luis Obispo Co. Grant,Micheltorena,Isaac,"T 32S, R 15E",22152.99,1879,"Isaac
   J",,
HUEROHUERO,#315,SAN LUIS OBISPO COUNTY,San Luis Obispo,"1
   sq. league",1842,Alvarado,T 27-28S,Romualdo; Romauldo; Pico; Francisco Branch; Alcalde Bonilla; John Wilson,,1871; 1842; 1846; 1866,HUERTA DE ROMAULDO; DEL CHORRO; Mariano; Sec; San Luis Obispo Co.,Alvarado,,T 27-28S,,,,,
LAGUNA (Church property),#332,SAN LUIS OBISPO COUNTY,San Luis Obispo,1 sq. league,1844,Micheltorena,"T 30-31S, R
   12E, MDM",Joseph S. Alemany,Monterey,12E; 1844; 1859,San Luis Obispo Co.; Bishop,Micheltorena,,"T 30-31S, R
   12E, MDM",,,,,
MISION SAN LUIS OBISPO,#332-A,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1844; 1845,Pico; Micheltorena,"T 30-31S, R 12E, MDM","Monterey; James Scott; San Luis Obispo
   ; James McKinley; John Wilson",San,1844; 1859; 1845,J. S. Alemany; MISION SAN LUIS; Pico; Bishop; Luis Obispo Co. Grant; Wilson,Pico; Micheltorena,,"T 30-31S, R 12E, MDM",,,,,
MISION SAN MIGUEL (Church Property),#313,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,,,,Francisco de Lasuen; Fermin; J. S. Alemanv,Monterey; San Luis,1797; 1859,Bishop,,,,,,,,
MORRO Y CAYUCOS,#325,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1842,Alvarado,T 29S,"Morro; Vicente Feliz; Cayucos; James
   McKinley",,1842; 1878,San Luis Obispo Co. Grant; Olivera; Martin,Alvarado,"James
   McKinley",T 29S,8.845.49,1878,"James
   McKinley",,
NIPOMO,#351,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,11 sq. leagues,1837,Alvarado,T 1 IN,San Luis Obispo; William G. Dana,Santa Barbara,1837; 1868,,Alvarado,,T 1 IN,,,,,
PASO DE ROBLES,#320,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,"6
   sq. leagues",1844,Micheltorena,T 27S,Pedro,,1844; 1866,San Luis Obispo Co. Grant,Micheltorena,,T 27S,,,,,
PIEDRA BLANCA,#321,SAN LUIS OBISPO COUNTY,San Luis Obispo,,1840,Alvarado,"T 25-26S, R 6-8E, MDM","Jose de
   ; Jesus Pico; Jose de Jesus",,1840; 1876,Pico; San Luis Obispo Co.; Rancho de San Simeon de San Luis Potosi; Hearst Rancho,Alvarado,"Jose de
   ; Jesus Pico","T 25-26S, R 6-8E, MDM",48805.59,1876,"Jose de
   Jesus Pico","Rancho de San Simeon de San Luis Potosi and also as
   Hearst Rancho",
PISMO,#336,SAN LUIS OBISPO COUNTY,San Luis Obispo,2 sq. leagues,1840,Pro,T 32S,Isaac J. Sparks; Manuel Jimeno; Jose Ortega,,1840; 1866,San Luis Obispo Co.,Pro,,T 32S,,,,,
POTRERO DE SAN LUIS OBISPO,#329,SAN LUIS OBISPO COUNTY,"San Luis
   Obispo",1 sq. league,1842,Alvarado,T 30S,"Maria Concepcion Boronda; Maria Concepcion
  Boronda",Alvarado; San Luis,1871; 1842,,Alvarado,,T 30S,,,,,
PUNTA DE LA LAGUNA,#354,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,6 sq. leagues,1844,Micheltorena,T 9-1 ON,"Luis
  Arellanes; Emelio Miguel
  Ortega; Luis Arellanes; San Luis
  Obispo",Santa Barbara,1844; 1873,,Micheltorena,"Luis
  Arellanes",T 9-1 ON,26.648.42,1873,"Luis
  Arellanes et al",,
RANCHITA DE SANTA FE,#334,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1842,Alvarado,,V. Linares; Victor Linares,,1842; 1866,San Luis Obispo Co.,Alvarado,,,,,,,
SAN BERNARDO (Cane),#326,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1840,Alvarado,T 29S,,,1840; 1865,RHE; San Luis Obispo Co.,Alvarado,,T 29S,,,,,
SAN GERONIMO (Villavicencio),#324,SAN LUIS OBISPO COUNTY,San Luis Obispo,2 sq. leagues,1842,Alvarado,T 28S,Rafael Villavicencio,San Luis Obispo,1842; 1876,,Alvarado,,T 28S,,,,,
SAN LUISITO,#327,SAN LUIS OBISPO COUNTY,San Luis Obispo,"1 sq.
  league",1841; 1844,Alvarado; Micheltorena,"T 29-3 OS, RUE, MDM","J. M. Bonilla; Guadalupe
  Cantua; Jose Maria Bonilla",SAN LUIS,1860; 1844; 1841,RUE; Sec; San Luis Obispo Co.,Alvarado; Micheltorena,,"T 29-3 OS, RUE, MDM",,,,,
SAN MIGUELITO (Avila),#335,SAN LUIS OBISPO COUNTY,San Luis Obispo,2 sq. leagues,,Pico; Alvarado,,Miguel Avila,,1842; 1877; 1846; 1839,San Luis Obispo Co.,Pico; Alvarado,,,,,,,
SAN SIMEON,#322,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,"1 sq.
   league",1842,Alvarado,T 27S,Miguel Gomez; Jose; Jose Ramon,,1842; 1865,San Luis Obispo Co. Grant; Rancho de San Simeon de San Luis Potosi; Hearst Rancho; Estrada,Alvarado,Jose; Miguel Gomez,T 27S,4.468.81,1865,"Jose
   Miguel Gomez","Rancho de San Simeon de San Luis Potosi, and also as
   Hearst Rancho",
SANTA MANUELA,#338,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,7 sq. leagues,1837,Alvarado,T 32S,Francisco Branch,Francisco,1837; 1842; 1868,San Luis Obispo Co.,Alvarado,,T 32S,,,,,
SANTA MARGARITA,#316,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,,1841,Pro,,"Manuel
   Jimeno",,1861; 1841,San Luis Obispo Co. Grant; Joaquin Estrada,Pro,,,,,,,
SANTA ROSA (Estrada),#323,SAN LUIS OBISPO COUNTY,San Luis Obispo,,1841,Alvarado,"T 27-28S, R 8-9E, MDM",Julian Estrada,Estrada; Julian,1865; 1841,San Luis Obispo Co. Grant; Hearst Rancho,Alvarado,,"T 27-28S, R 8-9E, MDM",,,,,
SANTA YSABEL (Arce),#319,SAN LUIS OBISPO COUNTY,San Luis Obispo,,1844,Micheltorena,"T 26-27S, R 12E, MDM",Francisco Arce,,1844; 1866,San Luis Obispo Co. Grant,Micheltorena,,"T 26-27S, R 12E, MDM",,,,,
SUEY,#350,SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO COUNTY,11 sq. leagues,1837,Alvarado,"T 10-1 IN, R 32-33W,
   SBM",,Santa Barbara; San Luis Obispo; Ramona,1837; 1865,Ramona Carrillo de Wilson; Carrillo,Alvarado,,"T 10-1 IN, R 32-33W,
   SBM",,,,,
BURI BURI,#150,SAN MATEO COUNTY,San Mateo,4 sq. leagues,,Castro; Echeandia,T 3-4S,Jose de la Sanchez; Jose Sanchez,,1827; 1835; 1872,San Mateo Co.,Castro; Echeandia,,T 3-4S,,,,,
BUTANO,#191,SAN MATEO COUNTY,SAN MATEO COUNTY,1 sq. league,,Alvarado; Micheltorena,,Manuel Rodrlguez; Romano Sanchez,Canada,1844; 1838; 1866,San Mateo Co.,Alvarado; Micheltorena,,,,,,Canada del Butano,
"CANADA DE GUADALUPE LA VISITACION Y
   RODEO VIEJO",#151,SAN MATEO COUNTY,San Mateo,,1841,Alvarado,"T 3S, R 5W, MDM",Jacob P. Leese; Henry Pavson; Viejo,,1865; 1841,San Mateo Co.; Canada de Guadalupe,Alvarado,Henry Pavson,"T 3S, R 5W, MDM",5.473.47,1865,Henry Pavson,,
CANADA DE GUADALUPE Y RODEO VIEJO,#152,SAN MATEO COUNTY,SAN MATEO COUNTY,,1841,Alvarado,"T 3S, R 5W, MDM","Jacob P.
   ; Viejo",San Francisco; San Mateo,1865; 1841,Pierce; Canada de Guadalupe la Visitation y Rodeo,Alvarado,,"T 3S, R 5W, MDM",942.93,1865,Wm,,
CANADA DEL CORTE DE MADERA,#551,SAN MATEO COUNTY,SAN MATEO COUNTY,,,Figueroa,,Carpenter; Cipriano Thum; Maximo Martinez,Martinez; Maximo; San Mateo; Santa Clara,1882; 1834; 1833,Domingo Peralta,Figueroa,,,,,,,
CANADA DE RAYMUNDO,#168,SAN MATEO COUNTY,SAN MATEO COUNTY,2 sq. leagues,1840,Alvarado,T 5-6S,"Marie L. Greer; Manuela Coppinger; John
   Coppinger; John Coppinger; Jose M. Alviso",Half Moon Bay,1840; 1859; 1838; 1865,San Mateo Co.; San Mateo Co. Grant; CANADA DE VERDE Y ARROYO DE LA PURISIMA; Jose Antonio Alviso,Alvarado,,T 5-6S,,,,,
CORRAL DE TIERRA (Palomares),#165,SAN MATEO COUNTY,San Mateo,1 sq. league,1844,Ad; Micheltorena,"T 5S, R 6W, MDM",Francisco Guerrero; Francisco,Josefa,1846; 1866; 1840; 1844; 1839,San Mateo Co.; Departmental Assembly; Palomares,Ad; Micheltorena,Francisco,"T 5S, R 6W, MDM",7.766.35,1866,"Josefa
   Haro de Guerrero, widow, and the heirs of Francisco
   Guerrero Palomares",,
CORRAL DE TIERRA (Vasquez),#166,SAN MATEO COUNTY,SAN MATEO COUNTY,1 sq. league,1839,Ad,,Manuel Jimeno; Tiburcio Vasquez,,1873; 1839,San Mateo Co.,Ad,,,,,,,
EL CORTE DE MADERA,#173,SAN MATEO COUNTY,SAN MATEO COUNTY,1 sq. league,,Figueroa; Micheltorena,T 6-7S,Maximo Martinez,Martinez; San Mateo; Canada; San Francisquito Creek; Maximo; Santa Clara,1834; 1844; 1858; 1833,Domingo Peralta,Figueroa; Micheltorena,,T 6-7S,,,,,source of San Francisquito Creek
